Timestamp,IP_Address,Request_Method,Endpoint,Status_Code,Country,Region,Service_Type,Traffic_Source,Device_Type,User_ID,Session_ID,Demo_Request,Event_Request,AI_Assistant_Request,Converted_To_Sale,Time_Spent,Engagement_Score,Sales_Team_Member,Hour,Day,Month
2026-03-23 03:01:47,180.54.194.90,GET,/solutions.html,200,Zambia,Southern Africa,Cloud Security,Search,Tablet,U1000,S10000,0,1,0,0,578,7.99,sales1,3,Monday,March
2026-01-28 07:32:38,220.64.61.183,POST,/jobs.php,200,Botswana,Southern Africa,Cloud Security,Email Campaign,Mobile,U1001,S10001,0,0,0,1,479,6.72,sales1,7,Wednesday,January
2026-01-20 06:48:21,200.107.12.209,POST,/about.html,200,South Africa,Southern Africa,Digital Transformation,Direct,Mobile,U1002,S10002,0,1,0,0,290,8.3,sales2,6,Tuesday,January
2026-03-12 09:53:40,70.78.234.192,POST,/prototype.php,200,Kenya,East Africa,Cloud Security,Direct,Desktop,U1003,S10003,0,0,0,0,253,10.0,sales3,9,Thursday,March
2026-02-28 20:53:23,3.151.123.171,GET,/scheduledemo.php,200,Namibia,Southern Africa,Threat Monitoring,Search,Tablet,U1004,S10004,1,1,1,0,93,6.53,sales2,20,Saturday,February
2026-03-01 12:17:59,12.48.245.220,GET,/scheduledemo.php,304,Zimbabwe,Southern Africa,Cyber Risk Assessment,Direct,Desktop,U1005,S10005,1,0,0,0,343,6.53,sales1,12,Sunday,March
2026-04-23 22:20:13,209.7.65.16,POST,/event.php,304,Tanzania,East Africa,Data Analytics,Referral,Desktop,U1006,S10006,0,1,1,0,162,10.0,sales2,22,Thursday,April
2026-02-21 11:14:08,121.57.201.201,POST,/about.html,200,Tanzania,East Africa,Cyber Risk Assessment,Direct,Desktop,U1007,S10007,1,1,0,1,183,8.53,sales1,11,Saturday,February
2026-03-18 14:33:16,203.184.5.235,POST,/about.html,200,Botswana,Southern Africa,Data Analytics,Email Campaign,Mobile,U1008,S10008,0,0,0,0,368,6.06,sales3,14,Wednesday,March
2026-04-03 23:16:32,126.109.6.87,POST,/jobs.php,200,Namibia,Southern Africa,AI Cybersecurity,Social Media,Tablet,U1009,S10009,0,0,0,0,223,8.09,sales3,23,Friday,April
2026-01-03 03:59:23,95.1.25.198,GET,/solutions.html,404,Zambia,Southern Africa,AI Cybersecurity,Search,Tablet,U1010,S10010,1,0,1,0,107,6.07,sales1,3,Saturday,January
2026-03-02 17:10:16,96.164.228.214,GET,/solutions.html,200,Mozambique,Southern Africa,AI Assistant,Search,Tablet,U1011,S10011,0,0,1,1,428,6.07,sales2,17,Monday,March
2026-01-29 02:21:01,189.36.92.33,GET,/prototype.php,304,Zimbabwe,Southern Africa,Cloud Security,Direct,Desktop,U1012,S10012,0,0,0,0,80,7.48,sales3,2,Thursday,January
2026-01-31 08:42:31,84.171.24.136,GET,/jobs.php,404,Zimbabwe,Southern Africa,Cloud Security,Email Campaign,Tablet,U1013,S10013,1,0,0,0,268,3.17,sales2,8,Saturday,January
2026-02-25 11:27:26,99.4.79.214,POST,/index.html,200,Tanzania,East Africa,Data Analytics,Direct,Desktop,U1014,S10014,0,0,0,0,367,3.55,sales2,11,Wednesday,February
2026-02-24 05:17:29,87.128.60.100,POST,/about.html,200,Zimbabwe,Southern Africa,Digital Transformation,Email Campaign,Desktop,U1015,S10015,0,0,0,0,573,5.88,sales1,5,Tuesday,February
2026-03-03 06:55:25,197.238.167.71,GET,/services.html,200,Botswana,Southern Africa,Digital Transformation,Direct,Mobile,U1016,S10016,0,0,1,1,485,4.97,sales2,6,Tuesday,March
2026-02-07 06:03:37,126.164.12.159,GET,/scheduledemo.php,304,Botswana,Southern Africa,AI Cybersecurity,Direct,Tablet,U1017,S10017,1,1,0,1,534,7.63,sales2,6,Saturday,February
2026-01-11 05:04:38,138.129.217.161,POST,/solutions.html,200,South Africa,Southern Africa,Digital Transformation,Direct,Tablet,U1018,S10018,0,0,1,0,60,5.18,sales1,5,Sunday,January
2026-03-27 22:20:15,205.92.102.213,GET,/event.php,304,Zambia,Southern Africa,Cloud Security,Social Media,Mobile,U1019,S10019,0,1,0,0,94,4.18,sales2,22,Friday,March
2026-01-28 16:16:08,102.238.64.7,POST,/about.html,404,Kenya,East Africa,Cloud Security,Social Media,Mobile,U1020,S10020,0,1,1,0,468,9.93,sales1,16,Wednesday,January
2026-01-14 04:16:07,220.202.188.174,POST,/jobs.php,200,South Africa,Southern Africa,Cloud Security,Social Media,Mobile,U1021,S10021,0,0,1,0,235,6.55,sales3,4,Wednesday,January
2026-04-26 01:05:40,194.245.67.77,GET,/contact.html,200,Mozambique,Southern Africa,AI Cybersecurity,Direct,Mobile,U1022,S10022,0,1,0,1,288,7.14,sales1,1,Sunday,April
2026-01-10 22:57:09,70.97.218.244,GET,/scheduledemo.php,200,Botswana,Southern Africa,AI Assistant,Email Campaign,Desktop,U1023,S10023,1,0,0,0,150,4.15,sales2,22,Saturday,January
2026-01-27 21:15:42,222.10.175.59,POST,/scheduledemo.php,200,South Africa,Southern Africa,Cyber Risk Assessment,Email Campaign,Mobile,U1024,S10024,1,0,0,0,178,5.91,sales3,21,Tuesday,January
2026-01-23 23:59:21,126.184.243.207,POST,/solutions.html,200,Mozambique,Southern Africa,Threat Monitoring,Search,Tablet,U1025,S10025,0,0,0,0,411,7.22,sales1,23,Friday,January
2026-02-09 07:14:01,71.43.219.249,GET,/event.php,200,Zimbabwe,Southern Africa,Threat Monitoring,Social Media,Desktop,U1026,S10026,1,1,1,0,379,4.7,sales2,7,Monday,February
2026-04-23 08:11:37,15.141.180.175,GET,/index.html,200,Zambia,Southern Africa,AI Cybersecurity,Email Campaign,Mobile,U1027,S10027,1,1,1,1,341,7.75,sales2,8,Thursday,April
2026-04-26 18:12:16,68.238.107.239,POST,/event.php,304,Botswana,Southern Africa,AI Cybersecurity,Email Campaign,Tablet,U1028,S10028,0,1,0,0,221,5.8,sales3,18,Sunday,April
2026-02-10 21:54:07,203.195.241.206,GET,/jobs.php,304,Zambia,Southern Africa,Threat Monitoring,Referral,Mobile,U1029,S10029,0,0,0,1,322,6.42,sales2,21,Tuesday,February
2026-03-14 09:25:35,86.193.219.24,POST,/contact.html,404,Botswana,Southern Africa,Threat Monitoring,Search,Mobile,U1030,S10030,1,0,0,0,349,5.8,sales3,9,Saturday,March
